age,dec,inc,lat,lon
350,357.9,59,48.206,15.626
350,350.1,64.2,51.85,5.85
350,348.7,68.5,51.79,14.57
350,7.5,71.3,52.13,10.56
355,355.8,62.8,52.5,358.4
358,354.5,62,51.5,358.3
358,3.3,65.8,51.27,14.43
360,358.1,54.9,47.9,0
371,358.9,53.7,51.51,14.41
375,2.3,54.4,41.21,15.56
375,2.9,62.9,50.8,359.2
375,358,60.2,48.206,15.626
385,358,61.1,45.8,3.4
400,351.9,56.2,46.9,16.7
400,359,59.6,43.5,359
400,3.2,63.4,40.4,16.8
405,357.7,55.8,45.8,13.22
405,359.4,58.5,45.8,13.22
425,355.8,57.5,43.9,0.6
437,3.7,64.3,47.68,16.62
450,344,74,55.7,8.6
450,17.5,72.6,55.7,8.6
450,3.2,59.7,55.7,8.6
450,356.7,65.6,55.7,8.6
450,12.8,66,55.7,8.6
450,2,58.5,43.4,6.3
450,357.9,70.6,49.3,9.5
450,2.2,64.3,50.5,5.3
456,4.1,58.3,46.5,16.7
475,3.7,71.3,50.5,5.2
475,359.5,62.4,49,2
500,1,63.4,43.6,1.4
500,0.6,58.1,40.73,15.68
500,1.6,56.7,40.98,14.85
500,19.5,66.3,40.1,15.4
500,0.4,67.1,40.4,16.8
520,0.1,55.4,40.6,15.8
550,359.4,51.3,41.22,16.07
550,4.4,62.9,44,4.5
550,356.5,71,49.5,8.5
550,359.3,62,51.6,358.9
562,5.2,70.3,50.4,3.3
575,7.4,64.5,40.6,3.2
575,7.3,60.9,40.6,3.2
600,3,65.7,46.667,14.667
600,4.6,70.1,49,2.5
600,12.2,70.6,50.5,5.2
600,12.1,72.1,50.5,5.2
600,357.5,71.6,50.5,5.2
600,1.6,74.3,50.6,5.7
650,5.5,54.2,43.2,2.4
650,9.3,68,50.9,359
650,347.4,78.5,53.7,357.3
650,8.4,65.7,41.22,1.18
673,1.8,73.7,50.77,7.01
675,357.8,69.4,49,2.5
675,354.8,69.7,49,2.5
675,1.4,70.4,49.1,2.4
694,352.7,70.5,47.99,11.16
700,0.5,72.3,47.13,16.66
700,8.4,61.8,41.9,12.45
